	timestamp(CST)	stage(ft)
507	2016-07-07 04:15:12-05	0.38
508	2016-07-07 04:00:14-05	0.37
509	2016-07-07 03:45:03-05	0.38
510	2016-07-07 03:30:05-05	0.37
511	2016-07-07 03:15:08-05	0.38
512	2016-07-07 03:00:11-05	0.39
513	2016-07-07 02:45:14-05	0.37
514	2016-07-07 02:30:01-05	0.37
515	2016-07-07 02:15:05-05	0.35
516	2016-07-07 02:00:07-05	0.35
517	2016-07-07 01:45:09-05	0.35
518	2016-07-07 01:30:12-05	0.36
519	2016-07-07 01:15:00-05	0.36
520	2016-07-07 01:00:03-05	0.37
521	2016-07-07 00:45:06-05	0.37
522	2016-07-07 00:30:09-05	0.36
523	2016-07-07 00:15:11-05	0.37
524	2016-07-07 00:00:14-05	0.37
525	2016-07-06 23:45:01-05	0.37
526	2016-07-06 23:30:04-05	0.38
527	2016-07-06 23:15:07-05	0.38
528	2016-07-06 23:00:10-05	0.36
529	2016-07-06 22:45:12-05	0.36
530	2016-07-06 22:30:00-05	0.32
531	2016-07-06 22:15:02-05	0.33
532	2016-07-06 22:00:05-05	0.33
533	2016-07-06 21:45:08-05	0.35
534	2016-07-06 21:30:10-05	0.36
535	2016-07-06 21:15:00-05	0.32
536	2016-07-06 21:00:03-05	0.34
537	2016-07-06 20:45:06-05	0.32
538	2016-07-06 20:30:09-05	0.31
539	2016-07-06 20:15:12-05	0.3
540	2016-07-06 20:00:00-05	0.3
541	2016-07-06 19:45:04-05	0.3
542	2016-07-06 19:30:08-05	0.3
543	2016-07-06 19:15:11-05	0.3
544	2016-07-06 19:00:14-05	0.31
545	2016-07-06 18:45:02-05	0.3
546	2016-07-06 18:30:05-05	0.31
547	2016-07-06 18:15:08-05	0.31
548	2016-07-06 18:00:11-05	0.29
549	2016-07-06 17:45:14-05	0.31
550	2016-07-06 17:30:01-05	0.29
551	2016-07-06 17:15:05-05	0.32
552	2016-07-06 17:00:08-05	0.34
553	2016-07-06 16:45:10-05	0.36
554	2016-07-06 16:30:14-05	0.36
555	2016-07-06 16:15:01-05	0.38
556	2016-07-06 16:00:05-05	0.4
557	2016-07-06 15:45:07-05	0.41
558	2016-07-06 15:30:10-05	0.39
559	2016-07-06 15:15:13-05	0.39
560	2016-07-06 15:00:01-05	0.4
561	2016-07-06 14:45:04-05	0.41
562	2016-07-06 14:30:07-05	0.41
563	2016-07-06 14:15:11-05	0.42
564	2016-07-06 14:00:13-05	0.41
565	2016-07-06 13:45:01-05	0.4
566	2016-07-06 13:30:03-05	0.43
567	2016-07-06 13:15:06-05	0.43
568	2016-07-06 13:00:08-05	0.43
569	2016-07-06 12:45:11-05	0.44
570	2016-07-06 12:30:14-05	0.45
571	2016-07-06 12:15:02-05	0.41
572	2016-07-06 12:00:06-05	0.41
573	2016-07-06 11:45:08-05	0.41
574	2016-07-06 11:30:10-05	0.41
575	2016-07-06 11:15:12-05	0.42
576	2016-07-06 11:00:00-05	0.42
577	2016-07-06 10:45:03-05	0.43
578	2016-07-06 10:30:04-05	0.43
579	2016-07-06 10:15:07-05	0.43
580	2016-07-06 10:00:10-05	0.42
581	2016-07-06 09:45:14-05	0.44
582	2016-07-06 09:30:01-05	0.45
583	2016-07-06 09:15:01-05	0.45
584	2016-07-06 09:00:01-05	0.45
585	2016-07-06 08:45:04-05	0.45
586	2016-07-06 08:30:06-05	0.45
587	2016-07-06 08:15:09-05	0.46
588	2016-07-06 08:00:12-05	0.46
589	2016-07-06 07:45:14-05	0.47
590	2016-07-06 07:30:02-05	0.47
591	2016-07-06 07:15:04-05	0.47
592	2016-07-06 07:00:04-05	0.48
593	2016-07-06 06:45:06-05	0.48
594	2016-07-06 06:30:01-05	0.48
595	2016-07-06 06:15:04-05	0.47
596	2016-07-06 06:00:07-05	0.46
597	2016-07-06 05:45:09-05	0.46
598	2016-07-06 05:30:12-05	0.47
599	2016-07-06 05:15:14-05	0.47
600	2016-07-06 05:00:02-05	0.48
601	2016-07-06 04:45:04-05	0.48
602	2016-07-06 04:30:06-05	0.48
603	2016-07-06 04:15:09-05	0.54
604	2016-07-06 04:00:00-05	0.52
605	2016-07-06 03:45:10-05	0.47
606	2016-07-06 03:30:06-05	0.48
607	2016-07-06 03:15:05-05	0.45
608	2016-07-06 03:00:01-05	0.46
609	2016-07-06 02:45:01-05	0.41
610	2016-07-06 02:30:05-05	0.46
611	2016-07-06 02:15:07-05	0.45
612	2016-07-06 02:00:10-05	0.44
613	2016-07-06 01:45:13-05	0.39
614	2016-07-06 01:30:01-05	0.39
615	2016-07-06 01:15:04-05	0.37
616	2016-07-06 01:00:07-05	0.37
617	2016-07-06 00:45:10-05	0.36
618	2016-07-06 00:30:13-05	0.35
619	2016-07-06 00:15:00-05	0.38
620	2016-07-06 00:00:02-05	0.38
621	2016-07-05 23:45:05-05	0.37
622	2016-07-05 23:30:08-05	0.35
623	2016-07-05 23:15:11-05	0.35
624	2016-07-05 23:00:14-05	0.37
625	2016-07-05 22:45:01-05	0.36
626	2016-07-05 22:30:04-05	0.35
627	2016-07-05 22:15:06-05	0.36
628	2016-07-05 22:00:09-05	0.34
629	2016-07-05 21:45:13-05	0.33
630	2016-07-05 21:30:01-05	0.33
631	2016-07-05 21:15:04-05	0.36
632	2016-07-05 21:00:05-05	0.35
633	2016-07-05 20:45:08-05	0.36
634	2016-07-05 20:30:11-05	0.37
635	2016-07-05 20:15:00-05	0.35
636	2016-07-05 20:00:03-05	0.33
637	2016-07-05 19:45:06-05	0.34
638	2016-07-05 19:30:08-05	0.35
639	2016-07-05 19:15:11-05	0.37
640	2016-07-05 19:00:13-05	0.38
641	2016-07-05 18:45:01-05	0.36
642	2016-07-05 18:30:04-05	0.37
643	2016-07-05 18:15:07-05	0.34
644	2016-07-05 18:00:10-05	0.36
645	2016-07-05 17:45:12-05	0.33
646	2016-07-05 17:30:00-05	0.33
647	2016-07-05 17:15:02-05	0.34
