timestamp (CST)	stage (ft)
2016-06-18 09:00:07-05	0.74
2016-06-18 09:15:02-05	0.71
2016-06-18 09:30:12-05	0.72
2016-06-18 09:45:07-05	0.71
2016-06-18 10:00:01-05	0.74
2016-06-18 10:15:11-05	0.73
2016-06-18 10:30:07-05	0.73
2016-06-18 10:45:03-05	0.73
2016-06-18 11:00:13-05	0.73
2016-06-18 11:15:08-05	0.73
2016-06-18 11:30:03-05	0.75
2016-06-18 11:45:13-05	0.74
2016-06-18 12:00:06-05	0.72
2016-06-18 12:15:00-05	0.74
2016-06-18 12:30:11-05	0.71
2016-06-18 12:45:05-05	0.72
2016-06-18 13:00:15-05	0.68
2016-06-18 13:15:09-05	0.7
2016-06-18 13:30:04-05	0.71
2016-06-18 13:45:14-05	0.68
2016-06-18 14:00:08-05	0.7
2016-06-18 14:15:03-05	0.69
2016-06-18 14:30:14-05	0.7
2016-06-18 14:45:09-05	0.67
2016-06-18 15:00:03-05	0.67
2016-06-18 15:15:13-05	0.67
2016-06-18 15:30:08-05	0.62
2016-06-18 15:45:03-05	0.65
2016-06-18 16:00:13-05	0.63
2016-06-18 16:15:02-05	0.65
2016-06-18 16:30:12-05	0.63
2016-06-18 16:45:08-05	0.62
2016-06-18 17:00:02-05	0.64
2016-06-18 17:15:01-05	0.6
2016-06-18 17:30:12-05	0.61
2016-06-18 17:45:09-05	0.61
2016-06-18 18:00:06-05	0.63
2016-06-18 18:15:01-05	0.65
2016-06-18 18:30:13-05	0.66
2016-06-18 18:45:10-05	0.67
2016-06-18 19:00:05-05	0.67
2016-06-18 19:15:00-05	0.66
2016-06-18 19:30:10-05	0.65
2016-06-18 19:45:06-05	0.65
2016-06-18 20:00:01-05	0.65
2016-06-18 20:15:11-05	0.66
2016-06-18 20:30:06-05	0.64
2016-06-18 20:45:01-05	0.64
2016-06-18 21:00:11-05	0.65
2016-06-18 21:15:05-05	0.63
2016-06-18 21:30:00-05	0.63
2016-06-18 21:45:09-05	0.63
2016-06-18 22:00:06-05	0.63
2016-06-18 22:15:00-05	0.64
2016-06-18 22:30:11-05	0.64
2016-06-18 22:45:05-05	0.64
2016-06-18 23:00:15-05	0.64
2016-06-18 23:15:09-05	0.64
2016-06-18 23:30:04-05	0.64
2016-06-18 23:45:14-05	0.66
2016-06-19 00:00:09-05	0.64
2016-06-19 00:15:03-05	0.64
2016-06-19 00:30:13-05	0.65
2016-06-19 00:45:08-05	0.65
2016-06-19 01:00:02-05	0.64
2016-06-19 01:15:12-05	0.64
2016-06-19 01:30:07-05	0.65
2016-06-19 01:45:01-05	0.64
2016-06-19 02:00:11-05	0.64
2016-06-19 02:15:06-05	0.63
2016-06-19 02:30:01-05	0.65
2016-06-19 02:45:10-05	0.64
2016-06-19 03:00:05-05	0.64
2016-06-19 03:15:14-05	0.64
2016-06-19 03:30:09-05	0.64
2016-06-19 03:45:04-05	0.64
2016-06-19 04:00:13-05	0.64
2016-06-19 04:15:08-05	0.64
2016-06-19 04:30:02-05	0.65
2016-06-19 04:45:13-05	0.65
2016-06-19 05:00:08-05	0.65
2016-06-19 05:15:03-05	0.66
2016-06-19 05:30:12-05	0.65
2016-06-19 05:45:07-05	0.66
2016-06-19 06:00:01-05	0.66
2016-06-19 06:15:10-05	0.66
2016-06-19 06:30:05-05	0.67
2016-06-19 06:45:15-05	0.68
2016-06-19 07:00:09-05	0.7
2016-06-19 07:15:04-05	0.71
2016-06-19 07:30:14-05	0.73
2016-06-19 07:45:08-05	0.72
2016-06-19 08:00:03-05	0.73
2016-06-19 08:15:14-05	0.72
2016-06-19 08:30:08-05	0.72
2016-06-19 08:45:03-05	0.73
2016-06-19 09:00:13-05	0.72
2016-06-19 09:15:08-05	0.69
2016-06-19 09:30:03-05	0.67
2016-06-19 09:45:13-05	0.7
2016-06-19 10:00:07-05	0.65
2016-06-19 10:15:00-05	0.66
2016-06-19 10:30:13-05	0.69
2016-06-19 10:45:08-05	0.7
2016-06-19 11:00:02-05	0.7
2016-06-19 11:15:12-05	0.69
2016-06-19 11:30:06-05	0.66
2016-06-19 11:45:01-05	0.69
2016-06-19 12:00:12-05	0.69
2016-06-19 12:15:08-05	0.67
2016-06-19 12:30:02-05	0.66
2016-06-19 12:45:12-05	0.68
2016-06-19 13:00:06-05	0.66
2016-06-19 13:15:01-05	0.66
2016-06-19 13:30:11-05	0.66
2016-06-19 13:45:06-05	0.66
2016-06-19 14:00:01-05	0.66
2016-06-19 14:15:11-05	0.65
2016-06-19 14:30:05-05	0.66
2016-06-19 14:45:00-05	0.63
2016-06-19 15:00:10-05	0.64
2016-06-19 15:15:04-05	0.65
2016-06-19 15:30:14-05	0.64
2016-06-19 15:45:10-05	0.62
2016-06-19 16:00:06-05	0.62
2016-06-19 16:15:01-05	0.61
2016-06-19 16:30:11-05	0.61
2016-06-19 16:45:06-05	0.61
2016-06-19 17:00:02-05	0.6
2016-06-19 17:15:12-05	0.59
2016-06-19 17:30:07-05	0.58
2016-06-19 17:45:01-05	0.59
2016-06-19 18:00:11-05	0.59
2016-06-19 18:15:06-05	0.59
2016-06-19 18:30:03-05	0.61
2016-06-19 18:45:13-05	0.61
2016-06-19 19:00:08-05	0.62
2016-06-19 19:15:13-05	0.63
2016-06-19 19:30:08-05	0.63
2016-06-19 19:45:03-05	0.64
2016-06-19 20:00:14-05	0.63
2016-06-19 20:15:09-05	0.6
2016-06-19 20:30:06-05	0.62
2016-06-19 20:45:03-05	0.62
2016-06-19 21:00:14-05	0.59
2016-06-19 21:15:09-05	0.62
2016-06-19 21:30:04-05	0.65
2016-06-19 21:45:14-05	0.61
2016-06-19 22:00:08-05	0.62
2016-06-19 22:15:03-05	0.64
2016-06-19 22:30:13-05	0.66
2016-06-19 22:45:08-05	0.66
2016-06-19 23:00:02-05	0.66
2016-06-19 23:15:12-05	0.67
2016-06-19 23:30:06-05	0.66
2016-06-19 23:45:01-05	0.66
2016-06-20 00:00:11-05	0.66
2016-06-20 00:15:06-05	0.65
2016-06-20 00:30:00-05	0.66
2016-06-20 00:45:11-05	0.66
2016-06-20 01:00:06-05	0.66
2016-06-20 01:15:01-05	0.66
2016-06-20 01:30:11-05	0.66
2016-06-20 01:45:07-05	0.66
2016-06-20 02:00:02-05	0.66
2016-06-20 02:15:12-05	0.67
